站點編號,站點名稱,城市,鄉鎮,經度,緯度,海拔高度,觀測時間,天氣現象,能見度描述,日照時數,風向,風速,氣溫,相對濕度,氣壓,紫外線指數,即時降水量,當日最高溫,當日最低溫
C2N160,西拉雅風管處,臺南市,官田區,120.335297,23.189481,43.0,2026-02-24 15:50:00+08:00,多雲,-99,,310.0,2.2,27.5,62.0,,,0.0,29.4,19.4
G2P820,鳳山農試,高雄市,鳳山區,120.356083,22.646611,37.0,2026-02-24 15:50:00+08:00,陰,-99,,290.0,1.6,27.4,65.0,,,0.0,30.8,19.7
E2S960,太麻里(2),臺東縣,太麻里鄉,120.99775,22.598,26.0,2026-02-24 15:50:00+08:00,晴,-99,,150.0,1.2,27.3,62.0,,,0.5,28.3,19.6
C2V920,匏子寮,高雄市,甲仙區,120.55319,23.04905,212.0,2026-02-24 15:50:00+08:00,多雲,-99,,310.0,3.3,27.3,58.0,,,0.0,28.6,17.6
C2V310,美濃,高雄市,美濃區,120.51907,22.898792,51.0,2026-02-24 15:50:00+08:00,多雲,-99,,250.0,2.2,27.2,63.0,,,0.0,29.6,19.7
CAP070,高雄燈塔,高雄市,旗津區,120.26468,22.614594,34.0,2026-02-24 15:50:00+08:00,陰,-99,,190.0,1.1,27.1,73.0,,,0.0,29.9,20.0
12Q980,恆春工作站,屏東縣,車城鄉,120.714425,22.079678,16.0,2026-02-24 15:50:00+08:00,晴,-99,,100.0,4.8,27.0,64.0,,,0.0,27.6,22.8
12Q970,東港工作站,屏東縣,東港鎮,120.466058,22.479997,16.0,2026-02-24 15:50:00+08:00,陰,-99,,210.0,3.3,27.0,65.0,,,0.0,28.6,20.4
467441,高雄,高雄市,楠梓區,120.312516,22.730432,11.8,2026-02-24 15:50:00+08:00,陰,>30,2.3,300.0,2.8,27.0,68.0,1011.2,2.0,0.0,30.1,18.9
B2Q810,恆春畜試,屏東縣,恆春鎮,120.802167,21.945583,20.0,2026-02-24 15:50:00+08:00,晴,-99,,90.0,2.9,26.9,66.0,,,4.5,27.6,20.7
B2N890,畜試所,臺南市,新化區,120.336406,23.058972,31.0,2026-02-24 15:50:00+08:00,多雲,-99,,320.0,2.1,26.9,65.0,,,0.0,28.5,18.3
E2P980,六龜林試,高雄市,六龜區,120.645722,22.991703,272.0,2026-02-24 15:50:00+08:00,多雲,-99,,270.0,1.6,26.9,61.0,,,0.0,28.0,17.2
467590,恆春,屏東縣,恆春鎮,120.746339,22.003897,22.3,2026-02-24 15:50:00+08:00,晴,>30,2.5,100.0,3.6,26.9,67.0,1009.4,4.0,-990.0,27.8,21.7
C2TB80,庄子底,花蓮縣,鳳林鎮,121.49438,23.71794,88.0,2026-02-24 15:50:00+08:00,多雲,-99,,120.0,1.4,26.8,63.0,,,0.0,27.7,17.9
C2TB70,達谷寮,花蓮縣,玉里鎮,121.35968,23.38,145.0,2026-02-24 15:50:00+08:00,陰,-99,,170.0,1.0,26.6,63.0,,,0.0,28.4,18.2
CAP060,國三S385K,高雄市,大樹區,120.444444,22.767777,93.0,2026-02-24 15:50:00+08:00,陰,7-10,,290.0,1.8,26.6,70.0,,,0.0,30.8,18.8
C2M9B0,西興,嘉義縣,大埔鄉,120.57617,23.2428,454.0,2026-02-24 15:50:00+08:00,多雲,-99,,250.0,1.4,26.6,59.0,,,0.0,27.2,18.2
C2SD70,二層坪,臺東縣,鹿野鄉,121.16838,22.94105,209.0,2026-02-24 15:50:00+08:00,多雲,-99,,240.0,2.8,26.6,61.0,,,0.5,27.7,18.1
C2X060,下營,臺南市,下營區,120.256291,23.226806,3.0,2026-02-24 15:50:00+08:00,多雲,-99,,310.0,3.4,26.4,65.0,,,0.0,29.0,19.2
467540,大武,臺東縣,大武鄉,120.90374,22.35572,8.1,2026-02-24 15:50:00+08:00,晴,-99,3.8,120.0,1.4,26.4,71.0,1011.6,4.0,0.0,27.0,20.9
C2V580,瑞山,高雄市,內門區,120.43424,22.90304,108.0,2026-02-24 15:50:00+08:00,多雲,-99,,310.0,2.9,26.3,64.0,,,0.0,29.8,18.0
A2N290,蘭花園區,臺南市,後壁區,120.379661,23.340258,23.0,2026-02-24 15:50:00+08:00,陰,-99,,300.0,4.5,26.3,67.0,,,0.0,28.4,19.3
CAP020,國一S346K,高雄市,岡山區,120.314166,22.812222,24.0,2026-02-24 15:50:00+08:00,陰,-99,,300.0,1.1,26.3,79.0,,,0.0,29.6,19.3
72V140,旗南農改,高雄市,旗山區,120.516667,22.857861,44.0,2026-02-24 15:50:00+08:00,多雲,-99,,280.0,4.1,26.2,66.0,,,0.0,29.0,18.9
467660,臺東,臺東縣,臺東市,121.154586,22.752211,9.0,2026-02-24 15:50:00+08:00,晴,>30,3.2,170.0,1.6,26.2,71.0,1011.4,4.0,1.5,27.3,19.7
CAN080,國三N336K,臺南市,官田區,120.345,23.154722,49.0,2026-02-24 15:50:00+08:00,多雲,-99,,290.0,4.3,26.2,80.0,,,0.0,28.1,19.0
CAV280,國三S378K,高雄市,田寮區,120.415519,22.825958,107.0,2026-02-24 15:50:00+08:00,陰,7-10,,320.0,3.1,26.2,79.0,,,0.0,29.5,18.3
CAV270,國一S336K,高雄市,路竹區,120.271178,22.894167,23.0,2026-02-24 15:50:00+08:00,陰,21-30,,260.0,2.2,26.1,74.0,,,0.0,28.3,19.2
467420,永康,臺南市,永康區,120.2367,23.038386,8.1,2026-02-24 15:50:00+08:00,多雲,-99,2.3,310.0,3.4,26.1,66.0,1011.4,2.0,0.0,28.0,20.1
467410,臺南,臺南市,中西區,120.20492,22.99328,40.8,2026-02-24 15:50:00+08:00,陰,11-15,1.7,330.0,2.3,26.0,67.0,1009.9,1.0,0.0,27.0,20.2
CAN090,國三S342K,臺南市,善化區,120.327528,23.106694,41.0,2026-02-24 15:50:00+08:00,多雲,7-10,,300.0,4.2,26.0,73.0,,,0.0,28.2,18.8
C2TA90,加納納,花蓮縣,瑞穗鄉,121.359867,23.466421,216.0,2026-02-24 15:50:00+08:00,陰,-99,,120.0,1.3,25.9,64.0,,,0.0,27.4,17.0
CAN140,六官養殖協會,臺南市,六甲區,120.29962,23.22881,24.0,2026-02-24 15:50:00+08:00,多雲,-99,,300.0,3.7,25.9,65.0,,,0.0,27.9,19.7
72M360,義竹分場,嘉義縣,義竹鄉,120.279361,23.360694,6.0,2026-02-24 15:50:00+08:00,陰,-99,,330.0,4.1,25.9,63.0,,,0.0,27.3,18.7
C2TB60,南安,花蓮縣,卓溪鄉,121.26157,23.29818,216.0,2026-02-24 15:50:00+08:00,陰,-99,,120.0,2.3,25.8,63.0,,,0.0,27.2,17.3
C2N170,茅港尾,臺南市,下營區,120.2624,23.2061,69.0,2026-02-24 15:50:00+08:00,多雲,-99,,320.0,3.2,25.8,72.0,,,0.0,28.0,19.5
C2M410,馬頭山,嘉義縣,大埔鄉,120.582017,23.324361,245.0,2026-02-24 15:50:00+08:00,陰,-99,,340.0,2.5,25.8,64.0,,,0.0,28.9,19.1
CAP010,國一S342K,高雄市,路竹區,120.295,22.845555,31.0,2026-02-24 15:50:00+08:00,陰,-99,,290.0,2.7,25.8,82.0,,,0.0,27.8,19.3
CAN100,國三S366K,臺南市,關廟區,120.3513,22.9077,64.0,2026-02-24 15:50:00+08:00,多雲,11-15,,290.0,1.8,25.8,69.0,,,0.0,28.8,17.7
E2S980,太麻里(1),臺東縣,太麻里鄉,120.980044,22.598922,100.0,2026-02-24 15:50:00+08:00,晴,-99,,160.0,0.4,25.7,71.0,,,1.0,28.0,19.2
C2SD50,順那,臺東縣,東河鄉,121.29332,23.04166,148.0,2026-02-24 15:50:00+08:00,多雲,-99,,110.0,1.8,25.7,66.0,,,0.5,27.1,18.0
C2S9A0,北份子寮,臺東縣,卑南鄉,121.07813,22.78561,104.0,2026-02-24 15:50:00+08:00,多雲,-99,,140.0,2.5,25.7,68.0,,,0.5,27.9,19.3
CAP040,國一N361K,高雄市,仁武區,120.328611,22.680555,27.0,2026-02-24 15:50:00+08:00,陰,7-10,,280.0,3.2,25.7,82.0,,,0.0,28.8,19.6
CAN040,國一N323K,臺南市,永康區,120.249453,23.011789,33.0,2026-02-24 15:50:00+08:00,多雲,-99,,330.0,2.6,25.7,80.0,,,0.0,27.6,19.6
C2N190,烏樹,臺南市,後壁區,120.36989,23.32393,22.0,2026-02-24 15:50:00+08:00,陰,-99,,310.0,4.9,25.6,70.0,,,0.0,28.4,19.1
CAN070,國三S329K,臺南市,官田區,120.355833,23.212777,63.0,2026-02-24 15:50:00+08:00,多雲,21-30,,300.0,4.8,25.5,80.0,,,0.0,26.8,19.0
B2U990,宜蘭畜試,宜蘭縣,五結鄉,121.832561,24.669039,10.0,2026-02-24 15:50:00+08:00,陰,-99,,70.0,0.8,25.5,76.0,,,0.0,26.6,18.0
C2TB50,麻汝,花蓮縣,玉里鎮,121.39358,23.42554,291.0,2026-02-24 15:50:00+08:00,陰,-99,,60.0,0.8,25.4,64.0,,,0.0,26.0,17.7
C2O950,安南,臺南市,安南區,120.144861,23.076694,4.0,2026-02-24 15:50:00+08:00,多雲,-99,,330.0,2.9,25.4,74.0,,,0.0,27.9,19.1
CAN150,國一N315K,臺南市,新市區,120.251897,23.0835,13.0,2026-02-24 15:50:00+08:00,多雲,11-15,,300.0,4.2,25.3,79.0,,,0.0,27.3,19.2
466990,花蓮,花蓮縣,花蓮市,121.613275,23.975128,16.1,2026-02-24 15:50:00+08:00,陰,>30,4.7,170.0,4.7,25.3,77.0,1010.7,2.0,0.0,26.9,19.7
467610,成功,臺東縣,成功鎮,121.373428,23.097486,33.5,2026-02-24 15:50:00+08:00,多雲,>30,2.0,150.0,1.3,25.3,73.0,1008.3,3.0,1.0,26.6,19.6
CAN010,國一N288K,臺南市,新營區,120.290033,23.30609,34.0,2026-02-24 15:50:00+08:00,陰,>30,,360.0,3.2,25.2,74.0,,,0.0,27.8,18.7
C2TB90,長橋,花蓮縣,鳳林鎮,121.46186,23.6874,108.0,2026-02-24 15:50:00+08:00,多雲,-99,,120.0,1.2,25.2,70.0,,,0.0,28.1,17.4
CAUB50,國五S047K,宜蘭縣,羅東鎮,121.794583,24.675456,38.0,2026-02-24 15:50:00+08:00,陰,-99,,320.0,2.5,25.1,72.0,,,0.5,25.7,19.0
C2M9C0,紫雲,嘉義縣,竹崎鄉,120.540253,23.494914,104.0,2026-02-24 15:50:00+08:00,陰,-99,,310.0,3.0,25.1,69.0,,,0.0,28.2,18.9
C2R9A0,高士國小,屏東縣,牡丹鄉,120.84653,22.12553,167.0,2026-02-24 15:50:00+08:00,晴,-99,,80.0,1.0,25.1,74.0,,,0.0,26.9,20.9
82S580,臺東茶改,臺東縣,鹿野鄉,121.130139,22.907694,175.0,2026-02-24 15:50:00+08:00,多雲,-99,,,,25.0,71.0,,,0.0,28.4,18.3
CAN060,國三S311K,臺南市,白河區,120.438888,23.346388,66.0,2026-02-24 15:50:00+08:00,陰,11-15,,340.0,5.0,25.0,73.0,,,0.0,27.3,18.8
C2TB30,吉安,花蓮縣,吉安鄉,121.54803,23.94538,75.0,2026-02-24 15:50:00+08:00,陰,-99,,330.0,0.5,24.9,74.0,,,0.0,28.2,19.1
72U480,蘭陽分場,宜蘭縣,三星鄉,121.716583,24.686306,27.0,2026-02-24 15:50:00+08:00,陰,-99,,20.0,1.7,24.9,69.0,,,0.0,26.3,18.7
CAN020,國一S306K,臺南市,麻豆區,120.230558,23.152831,27.0,2026-02-24 15:50:00+08:00,多雲,7-10,,310.0,3.7,24.8,74.0,,,0.0,26.8,18.5
CAA010,國一N013K,新北市,汐止區,121.628153,25.066739,39.0,2026-02-24 15:50:00+08:00,陰,-99,,280.0,1.5,24.8,72.0,,,0.0,25.7,20.0
466920,臺北,臺北市,中正區,121.514853,25.037658,6.3,2026-02-24 15:50:00+08:00,陰,>30,0.2,340.0,1.3,24.8,64.0,1010.1,1.0,-990.0,25.6,20.8
72M700,嘉義分場,嘉義縣,鹿草鄉,120.283061,23.416869,14.0,2026-02-24 15:50:00+08:00,陰,-99,,,,24.8,70.0,,,0.0,27.7,19.2
CAL040,國一N273K,嘉義縣,水上鄉,120.355,23.416666,39.0,2026-02-24 15:50:00+08:00,陰,-99,,350.0,4.9,24.8,85.0,,,0.0,27.3,18.6
C2M920,朴子農改,嘉義縣,朴子市,120.259383,23.469889,7.0,2026-02-24 15:50:00+08:00,陰,-99,,340.0,4.8,24.8,72.0,,,0.0,27.8,19.3
72T250,花蓮農改,花蓮縣,吉安鄉,121.563889,23.975222,36.0,2026-02-24 15:50:00+08:00,陰,-99,,20.0,1.4,24.7,80.0,,,0.0,27.4,18.9
72K220,雲林分場,雲林縣,斗南鎮,120.477333,23.634556,60.0,2026-02-24 15:50:00+08:00,陰,-99,,360.0,2.7,24.7,73.0,,,0.0,30.0,19.3
CAA030,國三S010K,新北市,汐止區,121.6475,25.08,50.0,2026-02-24 15:50:00+08:00,陰,-99,,10.0,0.6,24.6,64.0,,,0.0,25.8,18.3
C2M910,嘉義大學,嘉義市,東區,120.485903,23.471325,68.0,2026-02-24 15:50:00+08:00,陰,-99,,360.0,2.2,24.6,74.0,,,0.0,29.1,19.3
467080,宜蘭,宜蘭縣,宜蘭市,121.756528,24.763975,7.2,2026-02-24 15:50:00+08:00,陰,>30,2.7,30.0,3.9,24.6,74.0,1012.4,1.0,0.0,25.7,19.0
A0A010,臺灣大學,臺北市,大安區,121.539416,25.014278,17.0,2026-02-24 15:50:00+08:00,陰,-99,,330.0,0.3,24.6,63.0,,,0.0,25.4,19.6
CAL030,國一N268K,嘉義縣,水上鄉,120.375833,23.460833,39.0,2026-02-24 15:50:00+08:00,陰,-99,,340.0,2.0,24.5,85.0,,,0.0,28.0,18.7
72S200,班鳩分場,臺東縣,卑南鄉,121.077694,22.829528,240.0,2026-02-24 15:50:00+08:00,多雲,-99,,90.0,1.5,24.5,69.0,,,0.5,27.6,17.9
72N240,七股研究中心,臺南市,七股區,120.062894,23.081672,2.0,2026-02-24 15:50:00+08:00,陰,-99,,360.0,4.8,24.4,79.0,,,0.0,26.7,19.8
C2S9B0,利吉,臺東縣,卑南鄉,121.15486,22.86246,166.0,2026-02-24 15:50:00+08:00,晴,-99,,100.0,2.5,24.4,77.0,,,1.0,28.5,18.1
72S590,賓朗果園,臺東縣,卑南鄉,121.071278,22.813889,290.0,2026-02-24 15:50:00+08:00,多雲,-99,,20.0,0.5,24.3,,,,0.0,28.0,17.7
466881,新北,新北市,新店區,121.525196,24.959207,24.5,2026-02-24 15:50:00+08:00,陰,21-30,0.4,270.0,1.5,24.3,66.0,1010.9,1.0,-990.0,25.5,17.5
CAM900,國三S290K,嘉義縣,竹崎鄉,120.490742,23.504106,47.0,2026-02-24 15:50:00+08:00,陰,7-10,,330.0,4.4,24.3,83.0,,,0.0,27.7,18.8
C2M980,安和,嘉義縣,新港鄉,120.31593,23.51377,42.0,2026-02-24 15:50:00+08:00,陰,-99,,360.0,4.5,24.3,74.0,,,0.0,27.7,19.4
CAL080,國三N303K,嘉義縣,中埔鄉,120.452447,23.411969,72.0,2026-02-24 15:50:00+08:00,陰,7-10,,320.0,3.1,24.2,85.0,,,0.0,27.6,18.8
CAA070,國三N046K,新北市,樹林區,121.3958,24.95083,54.0,2026-02-24 15:50:00+08:00,陰,-99,,300.0,1.6,24.2,75.0,,,0.0,25.3,18.3
G2M350,溪口農場,嘉義縣,溪口鄉,120.408111,23.58565,26.0,2026-02-24 15:50:00+08:00,陰,-99,,360.0,3.4,24.2,75.0,,,0.0,28.4,19.4
CAAH60,大安森林,臺北市,大安區,121.53628,25.02955,18.0,2026-02-24 15:50:00+08:00,陰,-99,,0.0,0.0,24.1,66.0,,,0.0,25.3,18.9
CAA090,國三甲005K,臺北市,文山區,121.5975,25.00194,60.0,2026-02-24 15:50:00+08:00,陰,21-30,,270.0,1.3,24.1,75.0,,,0.0,25.6,18.2
CAUB40,國五S041K,宜蘭縣,壯圍鄉,121.781922,24.734764,37.0,2026-02-24 15:50:00+08:00,陰,-99,,30.0,3.2,24.1,81.0,,,0.0,25.6,19.5
CAA020,國一S026K,新北市,三重區,121.4964,25.07639,27.0,2026-02-24 15:50:00+08:00,陰,7-10,,30.0,1.1,24.0,71.0,,,0.0,24.8,20.8
G2L020,嘉義農試,嘉義市,東區,120.473806,23.485028,79.0,2026-02-24 15:50:00+08:00,陰,-99,,330.0,3.2,24.0,74.0,,,0.0,28.8,18.6
CAA050,國三S037K,新北市,土城區,121.471042,24.982361,51.0,2026-02-24 15:50:00+08:00,陰,-99,,260.0,0.8,24.0,74.0,,,0.0,25.3,19.3
CAUB30,國五S031K,宜蘭縣,礁溪鄉,121.782378,24.819144,40.0,2026-02-24 15:50:00+08:00,陰,>30,,50.0,4.5,24.0,82.0,,,0.0,24.8,19.5
A2K570,古坑(花卉中心),雲林縣,古坑鄉,120.55239,23.63353,90.0,2026-02-24 15:50:00+08:00,陰,-99,,360.0,3.2,24.0,74.0,,,0.0,27.9,18.6
CAA040,國三S016K,臺北市,南港區,121.6158,25.03306,71.0,2026-02-24 15:50:00+08:00,陰,-99,,280.0,0.5,24.0,76.0,,,0.0,25.3,18.5
467620,蘭嶼,臺東縣,蘭嶼鄉,121.55843,22.0369,324.0,2026-02-24 15:50:00+08:00,晴,>30,3.7,180.0,3.1,24.0,80.0,976.3,3.0,-990.0,25.3,20.6
C2K280,四湖,雲林縣,四湖鄉,120.22717,23.6304,3.0,2026-02-24 15:50:00+08:00,陰,-99,,20.0,3.3,24.0,76.0,,,0.0,29.1,19.3
C2M9D0,何竹子腳,嘉義縣,民雄鄉,120.38203,23.53641,20.0,2026-02-24 15:50:00+08:00,陰,-99,,350.0,3.6,24.0,78.0,,,0.0,28.4,19.3
72AI40,桃改臺北,新北市,樹林區,121.386972,24.944503,40.0,2026-02-24 15:50:00+08:00,陰,-99,,230.0,0.6,24.0,62.0,,,0.0,25.2,18.4
CAA060,國三S042K,新北市,土城區,121.4306,24.96,50.0,2026-02-24 15:50:00+08:00,陰,7-10,,190.0,0.8,24.0,77.0,,,0.0,25.8,18.8
CAB040,國三S007K,基隆市,七堵區,121.6678,25.09694,76.0,2026-02-24 15:50:00+08:00,陰,7-10,,160.0,0.6,24.0,79.0,,,0.0,25.3,17.5
C2SD60,明峰,臺東縣,卑南鄉,121.11825,22.8671,291.0,2026-02-24 15:50:00+08:00,多雲,-99,,180.0,2.6,23.9,74.0,,,0.0,26.2,17.1
467290,古坑,雲林縣,古坑鄉,120.551889,23.633639,90.0,2026-02-24 15:50:00+08:00,陰,-99,1.3,360.0,3.1,23.9,73.0,1002.5,1.0,0.0,27.5,18.7
CAL070,國三N295K,嘉義市,東區,120.499369,23.468598,99.0,2026-02-24 15:50:00+08:00,陰,7-10,,340.0,3.7,23.8,83.0,,,0.0,27.2,18.3
CAB020,國一S006K,基隆市,七堵區,121.6869,25.08694,52.0,2026-02-24 15:50:00+08:00,陰,-99,,50.0,1.5,23.8,79.0,,,0.0,25.8,19.0
CAN130,水試所海水繁養殖中心,臺南市,七股區,120.079676,23.120802,2.3,2026-02-24 15:50:00+08:00,陰,-99,,360.0,5.2,23.8,81.0,,,0.0,24.8,19.7
C2M9E0,旺來山,嘉義縣,民雄鄉,120.486463,23.555153,125.0,2026-02-24 15:50:00+08:00,陰,-99,,360.0,4.3,23.8,74.0,,,,27.5,18.4
CAN120,西濱N304K,臺南市,七股區,120.086694,23.103439,49.0,2026-02-24 15:50:00+08:00,陰,>30,,350.0,5.8,23.7,82.0,,,0.0,24.0,19.4
U2HA30,臺大和社,南投縣,信義鄉,120.888864,23.590856,772.0,2026-02-24 15:50:00+08:00,多雲,-99,,360.0,0.8,23.7,74.0,,,0.0,27.1,15.2
467300,東吉島,澎湖縣,望安鄉,119.66762,23.25727,43.0,2026-02-24 15:50:00+08:00,陰,16-20,2.9,30.0,5.2,23.7,80.0,1008.3,3.0,0.0,25.0,20.4
G2AI50,台農院關渡站,臺北市,北投區,121.492,25.11575,9.0,2026-02-24 15:50:00+08:00,陰,-99,,320.0,0.9,23.6,65.0,,,0.0,24.1,19.5
CAA080,國三S054K,新北市,鶯歌區,121.3239,24.93917,97.0,2026-02-24 15:50:00+08:00,陰,>30,,320.0,0.6,23.6,75.0,,,0.0,25.0,18.6
C2K300,鹿南,雲林縣,元長鄉,120.3636,23.63855,14.0,2026-02-24 15:50:00+08:00,陰,-99,,360.0,4.8,23.6,78.0,,,0.0,29.1,19.4
G2F820,農業試驗所,臺中市,霧峰區,120.688133,24.031261,90.0,2026-02-24 15:50:00+08:00,陰,-99,,330.0,4.1,23.6,72.0,,,0.0,28.0,19.3
A2K630,雲林臺大,雲林縣,虎尾鎮,120.423903,23.730628,45.0,2026-02-24 15:50:00+08:00,陰,-99,,350.0,2.5,23.6,73.0,,,0.0,28.8,18.9
C2SD80,再來山,臺東縣,長濱鄉,121.44122,23.34371,215.0,2026-02-24 15:50:00+08:00,陰,-99,,130.0,0.5,23.5,77.0,,,2.5,25.8,18.5
CAAD70,國五S006K,新北市,石碇區,121.656972,24.989964,187.0,2026-02-24 15:50:00+08:00,陰,7-10,,340.0,0.5,23.5,75.0,,,0.0,24.0,17.0
C2K630,荷苞,雲林縣,古坑鄉,120.595144,23.657717,173.0,2026-02-24 15:50:00+08:00,陰,-99,,340.0,1.8,23.5,72.0,,,0.0,28.7,17.9
CAL050,國三N279K,嘉義縣,大林鎮,120.523333,23.596111,113.0,2026-02-24 15:50:00+08:00,陰,16-20,,360.0,3.6,23.5,83.0,,,0.0,27.8,18.3
CAAD60,國五S005K,新北市,石碇區,121.651931,24.996414,154.0,2026-02-24 15:50:00+08:00,陰,7-10,,10.0,0.8,23.5,67.0,,,0.0,24.0,17.0
CAL110,布袋國中,嘉義縣,布袋鎮,120.18026,23.35893,1.1,2026-02-24 15:50:00+08:00,陰,-99,,350.0,4.5,23.5,78.0,,,0.0,24.1,19.3
CAL100,西濱S267K,嘉義縣,東石鄉,120.162872,23.41613,8.0,2026-02-24 15:50:00+08:00,陰,>30,,350.0,5.1,23.4,80.0,,,0.0,23.5,19.5
CAL090,西濱S257K,嘉義縣,東石鄉,120.171861,23.502278,5.0,2026-02-24 15:50:00+08:00,陰,11-15,,360.0,2.9,23.4,79.0,,,0.0,25.1,19.5
C2H950,中寮,南投縣,中寮鄉,120.766406,23.884447,192.0,2026-02-24 15:50:00+08:00,陰,-99,,290.0,1.1,23.4,73.0,,,0.0,27.5,18.5
C2G9A0,畜試所彰化,彰化縣,北斗鎮,120.557964,23.86045,51.0,2026-02-24 15:50:00+08:00,陰,-99,,360.0,2.7,23.4,73.0,,,0.0,28.7,19.2
CAN110,西濱S280K,臺南市,北門區,120.14891,23.3052,5.0,2026-02-24 15:50:00+08:00,陰,16-20,,340.0,5.4,23.4,81.0,,,0.0,24.4,19.6
CAHA00,消防署訓練中心,南投縣,竹山鎮,120.72293,23.82137,176.0,2026-02-24 15:50:00+08:00,陰,-99,,340.0,2.0,23.4,74.0,,,0.0,29.6,18.9
467270,田中,彰化縣,田中鎮,120.581286,23.873803,48.6,2026-02-24 15:50:00+08:00,陰,>30,1.2,360.0,3.2,23.4,72.0,1008.4,1.0,-990.0,27.8,19.1
V2C260,八德蔬果,桃園市,八德區,121.281819,24.978508,103.0,2026-02-24 15:50:00+08:00,陰,-99,,340.0,0.5,23.3,66.0,,,,24.3,18.8
467571,新竹,新竹縣,竹北市,121.01445,24.828575,27.0,2026-02-24 15:50:00+08:00,陰,>30,0.8,0.0,0.0,23.3,71.0,1010.3,1.0,0.0,24.3,19.0
12J990,口湖工作站,雲林縣,口湖鄉,120.180394,23.589978,10.0,2026-02-24 15:50:00+08:00,陰,-99,,350.0,2.3,23.3,79.0,,,0.0,25.4,18.9
CAL010,國一N250K,嘉義縣,大林鎮,120.436867,23.610292,46.0,2026-02-24 15:50:00+08:00,陰,-99,,360.0,5.3,23.3,87.0,,,0.0,28.0,18.8
C2H9H0,苗改南投蜂場,南投縣,名間鄉,120.693481,23.852589,158.0,2026-02-24 15:50:00+08:00,陰,-99,,350.0,2.7,23.3,74.0,,,0.0,29.6,18.9
CAD050,國一N094K,新竹市,東區,121.0089,24.79778,75.0,2026-02-24 15:50:00+08:00,陰,-99,,330.0,0.8,23.3,72.0,,,0.0,24.2,18.6
C2G980,田頭村,彰化縣,竹塘鄉,120.444175,23.8263,27.0,2026-02-24 15:50:00+08:00,陰,-99,,350.0,1.8,23.2,79.0,,,0.0,27.0,18.6
CAL020,國一S262K,嘉義縣,民雄鄉,120.403038,23.512333,43.0,2026-02-24 15:50:00+08:00,陰,7-10,,350.0,5.3,23.2,89.0,,,0.0,27.3,18.7
CAD040,國一S088K,新竹縣,竹北市,121.0214,24.84444,48.0,2026-02-24 15:50:00+08:00,陰,21-30,,80.0,0.6,23.2,80.0,,,0.0,23.8,18.3
467350,澎湖,澎湖縣,馬公市,119.563094,23.565503,10.7,2026-02-24 15:50:00+08:00,陰,21-30,2.5,20.0,2.7,23.1,81.0,1012.1,2.0,0.0,24.6,19.6
